E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0040;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Roope                                             ;Rautio                                            ;1;019;oikeustieteen ylioppilas                                                                                                                                                                                ;200;Tallinna, Viro                          ;Tallinna, Viro                          ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0041;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Nina                                              ;Sneitz                                            ;2;042;tutkija, filosofian tohtori                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;SV; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0042;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Tuomas                                            ;Tiainen                                           ;1;030;tutkijatohtori                                                                                                                                                                                          ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000162;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0043;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Aki                                               ;Tulimäki                                          ;1;032;lakimies                                                                                                                                                                                                ;853;Turku                                   ;Åbo                                     ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;33    ;10;02;02;LIBE  ;LIBE  ;LIBE  ;0044;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Severi                                            ;Virolainen                                        ;1;058;arkkitehti, yrittäjä                                                                                                                                                                                    ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000085;
E   ;01;***;V;****;HEL;HEL;41    ;19;03;03;AP    ;ÖP    ;OP    ;0045;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Thierry                                           ;Botty van den Bruele                              ;1;028;testi-insinööri                                                                                                                                                                                         ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;41    ;19;03;03;AP    ;ÖP    ;OP    ;0046;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Anastasia                                         ;Chevtsov                                          ;2;025;kotiäiti, yrittäjä                                                                                                                                                                                      ;405;Lappeenranta                            ;Villmanstrand                           ;98; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;41    ;19;03;03;AP    ;ÖP    ;OP    ;0047;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kristiina                                         ;Järvenpää                                         ;2;069;hammashoitaja                                                                                                                                                                                           ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;41    ;19;03;03;AP    ;ÖP    ;OP    ;0048;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Janne                                             ;Korhonen                                          ;1;042;maatalous- ja metsätieteiden tohtori, tutkija                                                                                                                                                           ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;41    ;19;03;03;AP    ;ÖP    ;OP    ;0049;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ilkka                                             ;Nuotio                                            ;1;069;yrittäjä                                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;41    ;19;03;03;AP    ;ÖP    ;OP    ;0050;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Petrus                                            ;Pennanen                                          ;1;050;filosofian tohtori, puolueen puheenjohtaja                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0004801;
E   ;01;***;V;****;HEL;HEL;41    ;19;03;03;AP    ;ÖP    ;OP    ;0051;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jesse                                             ;Pennanen                                          ;1;033;yrittäjä                                                                                                                                                                                                ;609;Pori                                    ;Björneborg                              ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;41    ;19;03;03;AP    ;ÖP    ;OP    ;0052;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jouni                                             ;Tuovinen                                          ;1;044;ohjelmistokehittäjä, yrittäjä                                                                                                                                                                           ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;43    ;22;04;04;VKK   ;VKK   ;VKK   ;0053;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Johan                                             ;Bäckman                                           ;1;051;dosentti                                                                                                                                                                                                ;698;Rovaniemi                               ;Rovaniemi                               ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;43    ;22;04;04;VKK   ;VKK   ;VKK   ;0054;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Rasoul                                            ;Dehghan                                           ;1;060;tulkki                                                                                                                                                                                                  ;092;Vantaa                                  ;Vanda                                   ;98; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;43    ;22;04;04;VKK   ;VKK   ;VKK   ;0055;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Nico                                              ;Giansanti                                         ;1;037;teknologia-asiantuntija                                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;43    ;22;04;04;VKK   ;VKK   ;VKK   ;0056;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Sari                                              ;Hämäläinen                                        ;2;040;merkonomi, laillistettu kiinteistönvälittäjä                                                                                                                                                            ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;43    ;22;04;04;VKK   ;VKK   ;VKK   ;0057;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ville                                             ;Idström                                           ;1;046;avustaja, yrittäjä                                                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;43    ;22;04;04;VKK   ;VKK   ;VKK   ;0058;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Sofia                                             ;Kazakov                                           ;2;047;terveydenhoitaja, yrittäjä                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;98; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;43    ;22;04;04;VKK   ;VKK   ;VKK   ;0059;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Jaakko                                            ;Kurki                                             ;1;056;metallimies, puuseppä                                                                                                                                                                                   ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;43    ;22;04;04;VKK   ;VKK   ;VKK   ;0060;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Markku                                            ;Lahtinen                                          ;1;065;yrittäjä, eläkeläinen                                                                                                                                                                                   ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;43    ;22;04;04;VKK   ;VKK   ;VKK   ;0061;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Rainer                                            ;Partanen                                          ;1;083;yrittäjä                                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;43    ;22;04;04;VKK   ;VKK   ;VKK   ;0062;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mikko                                             ;Paukkunen                                         ;1;037;toimitusjohtaja                                                                                                                                                                                         ;853;Turku                                   ;Åbo                                     ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0063;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Alpo                                              ;Aaltokoski                                        ;1;064;koreografi                                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2019  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0064;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Zahra                                             ;Abdulla                                           ;2;057;kätilö (AMK)                                                                                                                                                                                            ;091;Helsinki                                ;Helsingfors                             ;98; ; ; ; ;EKV-2019  ;0000929;
E   ;01;***;V;****;HEL;HEL;15    ;06;05;05;VAS   ;VÄNST ;LEFT  ;0065;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Rahim                                             ;Alizada                                           ;1;028;liiketalouden opiskelija, ohjaaja                                                                                                                                                                       ;091;Helsinki                                ;Helsingfors                             ;98; ; ; ; ;EKV-2019  ;0000000;
